HO DATE,STATION, SERIES,VOUCHER NO,DCR DATE,ACC NAME,SUB HEAD,NARRATION,AMOUNT
01/01/2021,AMK,DPDEC20,14199,27/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT AMK DT:27/12/20
",-77.00
01/01/2021,TIPT,DPDEC20,12525,24/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT TIPT DT:24/12/20
",-254.00
01/01/2021,HMLK,DPDEC20,12655,24/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HMLK DT:24/12/20
",-158.00
01/01/2021,TTB,DPDEC20,12199,23/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT TTB DT:23/12/20
",-729.00
01/01/2021,BDGI,DPDEC20,10810,21/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT BDGI DT:21/12/20,-185.00
01/01/2021,BLHS,CRDEC20,2162,24/12/2020,Freight Collection O.S Others,,RECOVERY OF CC AMOUNT AT:BLHS DT:24-12-20,90.00
01/01/2021,HSSN,DPDEC20,12934,24/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT HSSN DT:24/12/20,-138.00
01/01/2021,HKGT,DPDEC20,13074,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT HKGT DT:25/12/20,-458.00
01/01/2021,KUKP,DPDEC20,13828,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT KUKP DT:26/12/20
",-793.00
01/01/2021,AAP,DPDEC20,13164,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT AAP DT:25/12/20
",-89.00
01/01/2021,BLHS,CRDEC20,2233,25/12/2020,Freight Collection O.S Others,,RECOVERY OF CC AMOUNT AT:BLHS DT:25-12-20,70.00
01/01/2021,BLHS,DPDEC20,12650,24/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT BLHS DT:24/12/20,-351.00
01/01/2021,BLHS,DPDEC20,13260,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT BLHS DT:25/12/20,-235.00
01/01/2021,YGTL,CRDEC20,2077,23/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:YGTL DT:23-12-20
",30.00
01/01/2021,HIUL,DPDEC20,13214,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HIUL DT:25/12/20
",-393.00
01/01/2021,AAP,DPDEC20,12604,24/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT AAP DT:24/12/20
",-190.00
01/01/2021,NARP,DPDEC20,12459,24/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT NARP DT:24/12/20,-118.00
01/01/2021,HKVD,DPDEC20,13231,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HKVD DT:25/12/20
",-508.00
01/01/2021,RJY,DPDEC20,13900,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT RJY DT:26/12/20
",-411.00
01/01/2021,CDRR,CRDEC20,2317,26/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:BLHS DT:26-12-20
 ",90.00
01/01/2021,HKVD,DPDEC20,13861,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HKVD DT:26/12/20
",-473.00
01/01/2021,HMLK,DPDEC20,13248,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HMLK DT:25/12/20
",-18.00
01/01/2021,KOLK,DPDEC20,12505,24/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT KOLK DT:24/12/20
",-21.00
01/01/2021,GTK,DPDEC20,10540,21/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT GTK DT:21/12/20

",-98.00
02/01/2021,TTRJ,DPDEC20,14799,28/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT TTRJ DT:28/12/20,-763.00
02/01/2021,BHWD,DPDEC20,14831,28/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT BHWD DT:28/12/20,-3000.00
02/01/2021,STNM,DPDEC20,14338,28/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT  STNM DT:28/12/20
",-710.00
02/01/2021,MSN,DPDEC20,14505,28/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT MSN DT:28/12/20
",-74.00
02/01/2021,MUDN,CRDEC20,2441,28/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:MUDN DT:28-12-20
",15.00
02/01/2021,GTK,DPDEC20,14241,28/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT GTK DT:28/12/20,-23.00
02/01/2021,RJY,DPDEC20,15346,29/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT RJY DT:29/12/20
",-201.00
02/01/2021,AMK,CRDEC20,2527,29/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:AMK DT:29-12-20
",71.00
02/01/2021,CPRA,DPDEC20,14406,28/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT CPRA DT:28/12/20
",-915.00
02/01/2021,MSN,CRDEC20,2295,26/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:MSN DT:26-12-20
",24.00
02/01/2021,VJM,DPDEC20,13470,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CLOTH BALES CC CHARGES AT VJM DT:25/12/20,-135.00
02/01/2021,VSN,DPDEC20,12848,24/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT VSN DT:24/12/20
",-89.00
